"","SEX_label","JWTR_label","JWMNP","AGEP","PINCP"
"505","Female","Walked",7,29,80000
"506","Female","Walked",10,29,32200
"507","Female","Walked",5,34,30000
"508","Female","Walked",2,22,21000
"509","Female","Walked",20,25,5000
"510","Female","Walked",15,65,15000
"511","Female","Walked",30,39,6400
"512","Female","Walked",15,30,29600
"513","Female","Walked",40,33,50000
"514","Female","Walked",60,53,31000
"515","Female","Walked",1,63,51000
"516","Female","Walked",30,26,60000
"517","Female","Walked",5,78,59000
"518","Female","Walked",17,31,63000
"519","Female","Walked",5,44,180000
"520","Female","Walked",15,55,13200
"521","Female","Walked",15,63,45000
"522","Female","Walked",7,29,70000
"523","Female","Walked",5,54,350000
"524","Female","Walked",20,23,18100
"525","Female","Walked",15,42,1e+05
"526","Female","Walked",20,56,25000
"527","Female","Walked",5,63,80000
"528","Female","Walked",13,35,11400
"529","Female","Walked",10,25,4000
"530","Female","Walked",20,37,70010
"531","Female","Walked",1,63,21000
"532","Female","Walked",14,55,89000
"533","Female","Walked",25,26,130000
"534","Female","Walked",10,41,1e+05
"535","Female","Walked",9,28,25000
"536","Female","Walked",25,25,30000
"537","Female","Walked",10,22,40300
"538","Female","Walked",35,36,147000
"539","Female","Walked",15,60,50000
"540","Female","Walked",15,26,11000
"541","Female","Walked",15,48,8000
"542","Female","Walked",5,68,58500
"543","Female","Walked",10,45,75000
"544","Female","Walked",20,36,1e+05
"545","Female","Walked",2,29,17000
"546","Female","Walked",10,32,23400
"547","Female","Walked",5,56,35000
"548","Female","Walked",7,61,5000
"549","Female","Walked",20,46,70000
"550","Female","Walked",5,53,24000
"551","Female","Walked",5,57,28000
"552","Female","Walked",15,32,115000
"553","Female","Walked",12,32,52000
"554","Female","Walked",30,26,58000
"555","Female","Walked",15,25,58000
"556","Female","Walked",30,24,19000
"557","Female","Walked",20,46,22800
"558","Female","Walked",10,40,20000
"559","Female","Walked",5,61,171800
"560","Female","Walked",20,55,22600
"561","Female","Walked",30,66,82600
"562","Female","Walked",15,43,35000
"563","Female","Walked",50,38,35000
"564","Female","Walked",30,28,9800
"565","Female","Walked",8,51,40000
"566","Female","Walked",10,42,66000
"567","Female","Walked",10,23,9600
"568","Female","Walked",5,39,35000
"569","Female","Walked",10,30,25000
"570","Female","Walked",5,27,65000
"571","Female","Walked",15,55,45900
"572","Female","Walked",15,67,83100
"573","Female","Walked",20,28,60000
"574","Female","Walked",10,25,65000
"575","Female","Walked",40,51,30000
"576","Female","Walked",15,63,100250
"577","Female","Walked",5,63,24800
"578","Female","Walked",20,53,105000
"579","Female","Walked",8,67,60000
"580","Female","Walked",45,32,65000
"581","Female","Walked",20,43,35080
"582","Female","Walked",2,76,96500
"583","Female","Walked",5,57,660000
"584","Female","Walked",15,65,99000
"585","Female","Walked",5,62,72110
"586","Female","Walked",15,37,103000
"587","Female","Walked",15,56,72380
"588","Female","Walked",7,30,60000
"589","Female","Walked",30,39,300
"590","Female","Walked",20,32,15000
"591","Female","Walked",10,74,114040
"592","Female","Walked",1,35,41400
"593","Female","Walked",15,30,96000
"594","Female","Walked",20,27,19400
"595","Female","Walked",5,20,22500
"596","Female","Walked",10,19,9200
"597","Female","Walked",10,43,40000
"598","Female","Walked",5,62,9900
"599","Female","Walked",10,41,54000
"600","Female","Walked",20,26,43700
"601","Female","Walked",20,65,126000
"602","Female","Walked",80,49,55000
"603","Female","Walked",10,80,1174000
"604","Female","Walked",1,56,115000
"605","Female","Walked",5,53,48900
"606","Female","Walked",30,20,2400
"607","Female","Walked",30,28,30000
"608","Female","Walked",15,51,6500
"609","Female","Walked",10,21,5200
"610","Female","Walked",5,63,35000
"611","Female","Walked",6,21,12000
"612","Female","Walked",30,29,53300
"613","Female","Walked",20,64,16100
"614","Female","Walked",1,50,26700
"615","Female","Walked",5,29,55000
"616","Female","Walked",15,45,51000
"617","Female","Walked",25,30,216000
"618","Female","Walked",15,50,16100
"619","Female","Walked",15,23,11200
"620","Female","Walked",3,29,65000
"621","Female","Walked",25,63,52000
"622","Female","Walked",10,34,44000
"623","Female","Walked",20,33,230000
"624","Female","Walked",15,26,2000
"625","Female","Walked",10,75,9400
"626","Female","Walked",30,75,13790
"627","Female","Walked",5,38,10500
"628","Female","Walked",20,23,50000
"629","Female","Walked",10,25,2e+05
"630","Female","Walked",7,32,16000
"631","Female","Walked",25,65,1e+05
"632","Female","Walked",3,39,30000
"633","Female","Walked",10,37,25000
"634","Female","Walked",15,47,12000
"635","Female","Walked",15,51,25000
"636","Female","Walked",20,37,15000
"637","Female","Walked",20,50,5000
"638","Female","Walked",30,53,6900
"639","Female","Walked",30,60,13500
"640","Female","Walked",10,56,32000
"641","Female","Walked",20,36,40000
"642","Female","Walked",2,26,8800
"643","Female","Walked",20,37,39900
"644","Female","Walked",20,24,9000
"645","Female","Walked",15,39,30000
"646","Female","Walked",30,49,1e+05
"647","Female","Walked",10,64,82000
"648","Female","Walked",15,41,75000
"649","Female","Walked",10,38,50000
"650","Female","Walked",15,61,35000
"651","Female","Walked",3,50,30000
"652","Female","Walked",30,32,10000
"653","Female","Walked",20,23,45000
"654","Female","Walked",25,75,20800
"655","Female","Walked",10,34,42000
"656","Female","Walked",10,26,52000
"657","Female","Walked",10,23,3000
"658","Female","Walked",5,28,70000
"659","Female","Walked",15,23,22000
"660","Female","Walked",15,31,23000
"661","Female","Walked",20,36,150000
"662","Female","Walked",3,22,15100
"663","Female","Walked",30,62,100500
"664","Female","Walked",40,55,17000
"665","Female","Walked",10,33,8500
"666","Female","Walked",1,39,33000
"667","Female","Walked",15,25,48000
"668","Female","Walked",15,76,45400
"669","Female","Walked",7,35,25000
"670","Female","Walked",10,38,12000
"671","Female","Walked",30,49,10800
"672","Female","Walked",10,25,19400
"673","Female","Walked",20,42,52000
"674","Female","Walked",5,47,24030
"675","Female","Walked",25,42,14900
"676","Female","Walked",10,50,373000
"677","Female","Walked",20,39,13000
"678","Female","Walked",10,19,23000
"679","Female","Walked",60,31,110000
"680","Female","Walked",20,38,120000
"681","Female","Walked",3,37,28000
"682","Female","Walked",30,71,2900
"683","Female","Walked",30,25,125000
"684","Female","Walked",5,25,20000
"685","Female","Walked",10,27,15600
"686","Female","Walked",20,27,1e+05
"687","Female","Walked",3,58,31200
"688","Female","Walked",25,20,9000
"689","Female","Walked",30,26,173000
"690","Female","Walked",40,50,385000
"691","Female","Walked",5,54,79000
"692","Female","Walked",10,37,18000
"693","Female","Walked",25,28,21600
"694","Female","Walked",40,28,72000
"695","Female","Walked",50,77,49100
"696","Female","Walked",30,34,350
"697","Female","Walked",5,38,38000
"698","Female","Walked",1,23,24000
"699","Female","Walked",30,56,32000
"700","Female","Walked",30,49,375000
"701","Female","Walked",4,67,54000
"702","Female","Walked",20,53,121000
"703","Female","Walked",20,54,500
"704","Female","Walked",10,67,41000
"705","Female","Walked",1,74,64600
"706","Female","Walked",7,25,65000
"707","Female","Walked",5,21,4000
"708","Female","Walked",10,36,10000
"709","Female","Walked",5,58,28000
"710","Female","Walked",8,31,1e+05
"711","Female","Walked",1,40,11500
"712","Female","Walked",4,28,13630
"713","Female","Walked",15,26,52000
"714","Female","Walked",2,60,8800
"715","Female","Walked",5,62,45000
"716","Female","Walked",5,52,20000
"717","Female","Walked",20,41,46000
"718","Female","Walked",10,39,15700
"719","Female","Walked",40,54,28000
"720","Female","Walked",10,62,57000
"721","Female","Walked",10,72,59600
"722","Female","Walked",10,60,24000
"723","Female","Walked",20,20,20800
"724","Female","Walked",20,27,14700
"725","Female","Walked",10,52,1e+05
"726","Female","Walked",20,60,15800
"727","Female","Walked",3,54,19000
"728","Female","Walked",30,39,16000
"729","Female","Walked",30,28,90000
"730","Female","Walked",25,24,80000
"731","Female","Walked",1,38,23000
"732","Female","Walked",10,19,1700
"733","Female","Walked",5,45,9000
"734","Female","Walked",10,69,20200
"735","Female","Walked",20,28,80000
"736","Female","Walked",20,24,16000
"737","Female","Walked",15,24,33000
"738","Female","Walked",25,40,30600
"739","Female","Walked",12,39,17000
"740","Female","Walked",10,22,53300
"741","Female","Walked",10,40,15000
"742","Female","Walked",3,57,50000
"743","Female","Walked",10,22,10000
"744","Female","Walked",35,33,85000
"745","Female","Walked",15,29,18000
"746","Female","Walked",30,22,40000
"747","Female","Walked",30,28,92000
"748","Female","Walked",1,26,65000
"749","Female","Walked",10,54,32000
"750","Female","Walked",20,30,120100
"751","Female","Walked",10,35,75000
